player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Bryce Smith,170026,G,CLEMSON,1,100.0,0,140,57.8,,57.6,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
Billy Ward,122502,TE,GA TECH,1,60.0,0,176,56.8,,59.8,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,5
Apollos Cook,170043,WR,DUKE,1,100.0,0,154,60.1,,60.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Ty Buchanan,146417,T,TEXAS TECH,1,100.0,0,315,59.9,69.3,59.2,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,3,3,1,1,0,0,2,0
Peyton Jones,170051,HB,DUKE,5,10.0,0,154,61.3,70.3,60.0,0,0,1,12.5,12.5,100.0,0,0,0,3,0,0,0,30,1,8,0,0,2,0
Bud Holloway,156566,WR,LA TECH,1,100.0,0,208,51.9,,41.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Wesley Schelling,124358,LS,VANDERBILT,3,100.0,0,333,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Alistair Larson,162562,T,NAVY,1,100.0,0,237,64.6,67.2,67.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,3,3,1,1,0,0,2,0
John Bolles,171543,T,NEVADA,1,100.0,0,239,48.0,0.0,50.2,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,3,3,1,1,0,0,2,0
Jacob Hood,157073,T,NEBRASKA,1,100.0,0,238,59.4,,58.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Mitch Jeter,124242,K,S CAROLINA,3,75.0,0,289,60.1,75.1,60.0,0,0,0,,66.7,,0,0,0,3,0,0,0,4,2,3,0,0,1,0
Alex Huntley,124241,DI,S CAROLINA,3,75.0,0,289,60.0,88.4,60.0,0,0,2,66.7,66.7,100.0,0,0,0,3,0,0,0,4,2,3,0,0,1,2
Tonka Hemingway,124238,DI,S CAROLINA,6,37.5,0,289,65.7,88.4,60.0,0,0,2,66.7,33.3,100.0,0,0,0,3,0,0,0,8,2,6,0,0,1,0
Camden Sirmon,146466,WR,WASHINGTON,1,42.9,0,340,71.3,,59.7,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,4,0,0,3,0
JJ Hester,124207,WR,OKLAHOMA,2,42.9,0,261,49.0,,43.2,0,0,0,0.0,0.0,,1,0,0,3,0,0,0,7,0,4,0,0,3,0
Nic Trujillo,175742,WR,NEW MEXICO,1,100.0,0,241,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Reese Steele,175741,G,NEW MEXICO,1,100.0,0,241,60.1,,60.0,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
Jefferson Boaz,122822,QB,N CAROLINA,1,75.0,0,245,61.7,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,0
Landon Stevens,122848,WR,N CAROLINA,1,100.0,0,245,60.1,,60.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Noah McKinney,158136,T,OKLA STATE,1,100.0,0,262,59.0,,58.3,0,0,0,,,,0,0,0,3,0,0,3,3,0,0,0,0,3,0
Braeden Wisloski,170213,WR,MARYLAND,1,42.9,0,215,55.4,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,4,0,0,3,0
Henry Tabansi,171215,T,BUFFALO,3,100.0,0,126,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,1,3,0,0,0,2,3,0
Nate Anderson,158161,WR,W MICHIGAN,1,100.0,0,347,60.1,,60.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Luke Pardee,123096,QB,TCU,1,100.0,0,305,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Kenny Minchey,171091,QB,NOTRE DAME,2,42.9,0,258,64.3,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,2,0,0,3,0
Jowon Briggs,74867,DI,CINCINNATI,3,100.0,0,138,60.2,,60.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Ty Stamey,176363,TE,LA LAFAYET,1,75.0,0,207,58.3,,59.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,4
Christopher Williams,171028,WR,ARMY,2,100.0,0,114,60.0,,59.8,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Orion Peters,146506,WR,WASH STATE,1,37.5,0,341,54.4,,60.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,8,0,5,0,0,3,0
Gregory Clayton Jr.,123302,WR,LSU,1,100.0,0,211,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Greyson Crawford,162543,G,NAVY,1,100.0,0,237,59.6,66.6,59.5,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,3,0,2,0
Dylan Braithwaite,170308,WR,RUTGERS,1,75.0,0,278,82.2,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,0
Javoni Gardere,170512,WR,UTEP,2,33.3,0,330,76.8,,58.8,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,9,0,6,0,0,3,0
Grady Sherrill,162764,WR,N CAROLINA,1,100.0,0,245,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Bryce Kissi,170312,WR,RUTGERS,2,100.0,0,278,57.9,,54.8,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Christian Forbes,123384,G,WAKE,1,100.0,0,339,59.4,,59.3,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
Max White,144851,HB,IOWA,1,42.9,0,192,57.9,26.9,,0,1,3,75.0,75.0,83.3,0,1,0,3,0,0,0,7,3,4,0,0,0,0
Goldie Lawrence,170346,WR,FLORIDA ST,1,60.0,0,167,57.6,,59.5,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Bryson Donnell,157328,HB,TEXAS TECH,1,33.3,0,315,66.7,76.8,,0,0,3,60.0,60.0,100.0,0,0,0,3,0,0,0,9,3,5,0,0,0,0
Kanen Rossi,146555,G,OREGON,1,100.0,0,264,53.9,69.1,55.5,0,0,1,100.0,100.0,100.0,0,0,0,3,0,3,0,3,1,1,0,0,2,0
Hank Lucas,170394,C,WAKE,1,100.0,0,339,59.8,,58.4,0,0,0,,,,0,0,0,3,3,0,0,3,0,0,0,0,3,0
Ike Daniels,170385,HB,SYRACUSE,2,10.3,0,304,70.1,75.2,60.0,0,0,2,18.2,18.2,100.0,0,0,0,3,0,0,0,29,2,11,0,0,1,0
Garrett French,123746,TE,UCF,1,75.0,0,323,56.3,,58.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,2
EJ Wilson Jr.,123652,HB,TEMPLE,3,13.0,0,306,59.4,7.7,47.4,0,0,1,9.1,8.3,100.0,1,0,0,3,0,0,0,23,1,12,0,0,2,0
Yamil Oaxaca,175650,WR,UTEP,2,42.9,0,330,55.5,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,4,0,0,3,0
Brady Allen,156493,QB,LOUISVILLE,1,75.0,0,210,61.5,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,0
Jaydn Girard,157536,WR,WAKE,1,100.0,0,339,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Cort Halsey,175398,TE,N CAROLINA,2,50.0,0,245,54.5,,54.7,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,6,0,3,0,0,3,1
Chris Johnson Jr.,175378,HB,MIAMI FL,4,13.6,0,220,72.7,26.4,,0,1,3,27.3,27.3,83.3,0,1,0,3,0,0,0,22,3,11,0,0,0,0
Cooper Hausmann,156463,WR,NEBRASKA,1,100.0,0,238,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Thaddius Franklin Jr.,143940,HB,LA MONROE,4,11.5,0,209,62.6,73.5,60.0,0,0,2,18.2,15.4,100.0,0,0,0,3,0,0,0,26,2,13,0,0,1,0
Alec Wick,144852,WR,IOWA,2,100.0,0,192,60.0,,59.9,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Unknown 91 Air Force,182303,FB,AIR FORCE,1,100.0,0,101,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Hoke Smith II,175268,C,NAVY,1,100.0,0,237,59.6,66.6,59.6,0,0,1,100.0,100.0,100.0,0,0,0,3,0,3,0,3,1,1,0,0,2,0
Isaiah Essissima,97243,CB,NEVADA,2,27.3,1,239,84.3,,59.8,0,0,0,0.0,0.0,,1,0,0,3,0,0,0,11,0,8,0,0,3,0
Jackson Bowers,175009,TE,BYU,1,100.0,0,128,51.0,,44.3,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,1
Jake Skelly,145893,T,OHIO,1,100.0,0,259,57.8,,56.5,0,0,0,,,,0,0,0,3,0,0,3,3,0,0,0,0,3,0
Dillon Thieneman,174971,S,PURDUE,1,100.0,0,273,60.0,,60.0,0,0,0,,,,1,0,0,3,0,0,0,3,0,0,0,0,3,0
Cameron Edge,162791,QB,MARYLAND,1,42.9,0,215,56.6,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,4,0,0,3,0
Grant Tisdale,97419,QB,TCU,1,60.0,0,305,60.6,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,1,0,0,3,0
Cooper DeJean,144867,CB,IOWA,2,75.0,0,192,72.1,,60.0,0,0,0,,,,3,0,0,3,0,0,0,4,0,0,0,0,3,0
Matt Keeler,144743,T,TEXAS TECH,1,100.0,0,315,64.8,72.3,67.7,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,0,3,2,0
Luke Besh,144403,WR,TULANE,1,75.0,0,319,58.2,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,0
Dewayne Coleman,163179,QB,ARMY,3,37.5,0,114,44.3,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,8,0,3,0,0,3,0
Cole Reemsnyder,174798,TE,VA TECH,1,100.0,0,337,60.1,,59.9,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Mohammed Hazime,176106,TE,KENT STATE,1,100.0,0,201,59.9,,59.6,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,2
Charles Crawford III,139539,HB,SM HOUSTON,3,21.4,0,281,66.3,69.6,60.0,0,0,2,33.3,33.3,100.0,0,0,0,3,0,0,0,14,2,6,0,0,1,0
Larenzo McMillan,138489,HB,NEW MEX ST,1,42.9,0,242,82.5,,56.9,0,0,0,,,,0,0,0,3,0,0,0,7,0,0,0,0,3,0
James Djonkam,163264,LB,ARIZONA ST,1,100.0,0,110,54.8,,51.3,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Paul Fitzgerald,157633,ED,UTAH ST,3,75.0,0,329,79.6,63.8,60.0,0,0,1,50.0,50.0,100.0,2,0,0,3,0,0,0,4,1,2,0,0,2,0
Dontay Corleone,133825,DI,CINCINNATI,3,100.0,0,138,57.6,,57.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Ross James,163296,P,OREGON,4,60.0,0,264,56.9,,60.0,0,0,0,,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Khalifa Keith,174730,HB,TENNESSEE,3,25.0,0,307,57.8,72.8,,0,0,3,60.0,60.0,100.0,0,0,0,3,0,0,0,12,3,5,0,0,0,0
Garrett Kahmann,133204,TE,LA MONROE,1,33.3,0,209,70.7,,80.7,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,9,0,6,0,0,3,6
GiVanni Peterson,157124,TE,LSU,2,100.0,0,211,60.1,,60.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Kevin Burns,182320,WR,SO MISS,1,100.0,0,296,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Jalen Pope,174303,WR,OKLA STATE,1,100.0,0,262,60.1,,60.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Jack Endean,174286,T,OKLA STATE,1,100.0,0,262,60.0,,60.4,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Justin Holaday,163350,QB,NEW MEXICO,2,75.0,0,241,58.3,,60.0,0,0,0,,,,0,0,0,3,0,0,0,4,0,0,0,0,3,0
Qae'Shon Sapp,156287,G,FLORIDA ST,1,100.0,0,167,64.2,67.3,62.5,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,3,0,2,0
Sterling Berkhalter,54221,WR,CINCINNATI,1,100.0,0,138,60.1,,60.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Jeremiah Giedrys,156263,WR,FLORIDA ST,1,100.0,0,167,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Hall Schmidt,163388,T,BOISE ST,1,100.0,0,120,60.0,72.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,0,3,2,0
Jamari Williams,98789,G,MIDDLE TN,1,100.0,0,224,60.0,70.1,60.0,0,0,2,100.0,100.0,100.0,0,0,0,3,0,0,0,3,2,2,3,0,1,0
Bradley Schlom,131808,WR,UCLA,2,60.0,0,324,39.5,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Ari Libenson,131798,WR,UCLA,2,100.0,0,324,60.1,,60.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Silas Starr,131783,WR,STANFORD,3,42.9,0,300,56.9,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,4,0,0,3,0
Olsen Patt-Henry,170022,TE,CLEMSON,2,50.0,0,140,74.3,66.8,60.0,0,0,1,25.0,25.0,100.0,0,0,0,3,0,0,0,6,1,4,0,0,2,1
Travis Gray,157696,T,NEW MEXICO,1,100.0,0,241,58.6,,57.8,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
T'Vondre Sweat,99321,DI,TEXAS,1,100.0,0,311,64.0,,67.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,1
Luke Voorhees,145975,TE,BOISE ST,3,60.0,0,120,55.3,,59.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,3
Jackson Girouard,162485,WR,WASHINGTON,1,60.0,0,340,57.7,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Colton FitzGerald,145980,QB,GA SOUTHRN,1,100.0,0,174,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Shardez Taylor,131432,G,SO MISS,1,100.0,0,296,59.2,,59.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,3,0,3,0
Cole Boscia,157703,WR,COLORADO,2,50.0,0,143,56.3,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,6,0,3,0,0,3,0
Darwin Barlow,99482,HB,USC,4,15.8,0,326,82.0,73.5,60.0,0,0,2,20.0,20.0,100.0,0,0,0,3,0,0,0,19,2,10,0,0,1,0
Caleb Walker,173992,G,UCLA,1,100.0,0,324,51.6,,51.1,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
Tavake Tuikolovatu,173990,T,UCLA,1,100.0,0,324,55.6,,49.4,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Ryan Niblett,176181,WR,TEXAS,2,75.0,0,311,57.5,,58.3,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,0
Jack Clarke,173970,C,UCLA,1,100.0,0,324,59.8,,59.3,0,0,0,,,,0,0,0,3,3,0,0,3,0,0,0,0,3,0
Ethan Davies,151077,WR,VIRGINIA,3,37.5,0,335,55.9,,60.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,8,0,5,0,0,3,0
Thomas Wadsworth,158456,TE,UCF,1,75.0,0,323,57.1,,58.2,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,3
Zane Minors,144371,HB,SMU,4,12.5,0,287,73.6,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,24,0,4,0,0,3,0
Samuel Floysand,173862,T,AIR FORCE,2,100.0,0,101,57.5,,51.3,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Zion Wilson,151063,G,E CAROLINA,1,100.0,0,156,64.6,,64.6,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,3,0,3,0
Billie Roberts,130379,DI,BOWL GREEN,2,100.0,0,122,67.8,,68.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Gabriel Averitt,173843,C,AIR FORCE,2,100.0,0,101,60.0,,59.5,0,0,0,,,,0,0,0,3,2,0,0,3,0,0,1,0,3,0
