player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Rayshard Ashby,58267,LB,VA TECH,11,19,0,83.3,0,0,337,69.9,57.4,58.8,53.2,51.7,73.6,8,9,0,16,13.2,10,0,1,111.3,15,4,680,0,327,746,38,0,0,38,0,7,708,110,309,19,31,47,18,21,1,113,92,7.5
Jaylen Griffin,58270,ED,VA TECH,9,1,0,100.0,0,0,337,64.2,59.3,27.7,63.6,55.9,52.4,3,9,0,6,33.3,5,0,2,91.7,1,1,0,0,9,253,252,0,0,249,3,0,1,132,112,0,5,9,1,13,0,6,1,6.0
Willie Taylor III,58278,ED,WASH STATE,1,0,0,,0,0,341,60.0,66.9,71.5,65.7,60.9,71.5,0,0,0,,,0,0,0,0.0,0,1,0,0,1,7,7,0,0,7,0,0,0,4,2,0,1,0,0,1,0,0,0,
Kyle Bailey,58289,LB,W KENTUCKY,10,14,0,72.2,0,0,346,51.1,44.2,0.0,60.0,43.4,55.9,4,7,1,26,20.5,15,0,3,67.1,13,3,464,0,210,583,52,0,0,52,0,0,531,69,304,67,28,44,18,14,0,121,90,9.3
Juwuan Jones,58290,ED,W KENTUCKY,11,8,1,,1,1,346,76.3,55.7,59.0,58.1,50.9,68.9,4,14,0,,18.5,5,1,2,0.0,0,3,1,0,4,598,597,0,10,539,48,0,1,288,306,0,10,14,0,21,0,0,0,
Roy McCree,58292,LB,W MICHIGAN,3,2,0,83.3,0,1,347,69.5,67.2,76.7,56.9,60.7,86.4,0,0,0,55,0.0,0,0,0,158.3,10,0,24,0,32,65,4,0,0,4,0,0,61,5,28,36,7,10,12,0,2,152,130,15.2
Treshaun Hayward,58293,LB,W MICHIGAN,6,22,0,89.7,0,0,347,36.4,48.0,0.0,67.5,63.9,66.6,2,5,0,19,10.4,7,0,5,99.1,26,0,329,0,186,434,43,0,0,43,0,1,391,51,197,60,22,38,29,7,0,226,122,8.7
Corvin Moment,58294,LB,W MICHIGAN,6,10,0,80.0,0,0,347,56.5,63.9,82.6,66.7,66.6,62.1,0,1,0,25,14.0,6,0,0,136.5,12,2,366,0,186,416,35,0,0,35,0,0,381,36,194,14,20,27,15,3,2,109,83,9.1
Tanner Motz,58296,ED,W MICHIGAN,6,2,0,,0,0,347,,42.5,79.3,54.8,38.6,33.9,0,0,0,,25.0,1,0,0,0.0,0,0,3,0,0,73,70,0,1,48,21,0,3,33,40,0,1,1,0,0,0,0,0,
Izayah Green-May,58302,ED,WISCONSIN,1,0,0,,0,0,349,60.0,59.5,77.5,55.2,62.7,73.0,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,22,20,0,0,20,0,0,2,12,9,2,0,1,0,1,0,0,0,
